time,x,y,z,gforce
0.384,-0.086,0.453,0.986,1.089
0.385,-0.086,0.449,0.978,1.079
0.387,-0.084,0.450,0.961,1.065
0.389,-0.086,0.456,0.951,1.058
0.392,-0.091,0.457,0.942,1.052
0.395,-0.100,0.453,0.936,1.045
0.397,-0.097,0.459,0.920,1.033
0.400,-0.098,0.454,0.905,1.018
0.402,-0.095,0.453,0.891,1.004
0.405,-0.103,0.458,0.881,0.998
0.407,-0.100,0.461,0.868,0.988
0.409,-0.105,0.464,0.853,0.976
0.412,-0.108,0.468,0.852,0.978
0.414,-0.100,0.468,0.837,0.964
0.417,-0.113,0.471,0.836,0.966
0.419,-0.110,0.468,0.820,0.951
0.422,-0.111,0.473,0.816,0.950
0.424,-0.107,0.480,0.799,0.938
0.427,-0.107,0.476,0.800,0.937
0.429,-0.117,0.489,0.788,0.935
0.432,-0.112,0.480,0.789,0.931
0.434,-0.110,0.486,0.787,0.932
0.437,-0.117,0.492,0.790,0.938
0.439,-0.118,0.500,0.791,0.943
0.442,-0.117,0.497,0.787,0.938
0.444,-0.116,0.500,0.782,0.935
0.447,-0.123,0.510,0.792,0.950
0.452,-0.119,0.509,0.789,0.947
0.452,-0.122,0.508,0.799,0.955
0.455,-0.120,0.509,0.802,0.957
0.457,-0.122,0.512,0.799,0.956
0.459,-0.125,0.511,0.809,0.965
0.462,-0.121,0.508,0.808,0.962
0.464,-0.123,0.498,0.830,0.976
0.467,-0.121,0.508,0.834,0.984
0.469,-0.121,0.497,0.849,0.991
0.472,-0.121,0.492,0.850,0.989
0.474,-0.123,0.478,0.867,0.998
0.477,-0.125,0.475,0.864,0.994
0.479,-0.122,0.473,0.868,0.996
0.481,-0.117,0.466,0.880,1.003
0.486,-0.123,0.465,0.876,0.999
0.487,-0.119,0.459,0.873,0.994
0.489,-0.124,0.447,0.881,0.996
0.492,-0.113,0.446,0.868,0.982
0.494,-0.124,0.439,0.861,0.974
0.502,-0.118,0.449,0.856,0.974
0.502,-0.111,0.443,0.843,0.958
0.503,-0.117,0.439,0.835,0.951
0.507,-0.111,0.452,0.825,0.947
0.507,-0.108,0.446,0.812,0.933
0.509,-0.107,0.462,0.800,0.930
0.511,-0.109,0.458,0.786,0.916
0.514,-0.111,0.466,0.780,0.916
0.519,-0.118,0.471,0.778,0.917
0.519,-0.122,0.482,0.766,0.913
0.521,-0.111,0.480,0.762,0.907
0.524,-0.113,0.489,0.750,0.902
0.526,-0.107,0.499,0.745,0.903
0.529,-0.103,0.500,0.738,0.897
0.531,-0.100,0.499,0.742,0.899
0.535,-0.083,0.507,0.732,0.894
0.536,-0.080,0.517,0.733,0.900
0.539,-0.069,0.525,0.734,0.905
0.541,-0.062,0.532,0.739,0.912
0.543,-0.050,0.538,0.752,0.926
0.546,-0.041,0.548,0.749,0.929
0.548,-0.038,0.556,0.761,0.943
0.551,-0.029,0.566,0.769,0.955
0.553,-0.028,0.566,0.793,0.975
0.556,-0.021,0.572,0.802,0.986
0.558,-0.023,0.580,0.813,0.999
0.561,-0.013,0.576,0.831,1.011
0.563,-0.021,0.575,0.835,1.014
0.566,-0.021,0.578,0.846,1.025
0.571,-0.026,0.579,0.854,1.032
0.572,-0.032,0.567,0.854,1.025
0.573,-0.047,0.563,0.854,1.024
0.576,-0.054,0.549,0.857,1.020
0.579,-0.081,0.527,0.860,1.012
0.581,-0.115,0.504,0.866,1.009
0.585,-0.134,0.490,0.854,0.994
0.586,-0.148,0.486,0.851,0.991
0.588,-0.154,0.488,0.847,0.989
0.591,-0.160,0.498,0.829,0.980
0.593,-0.152,0.506,0.835,0.989
0.595,-0.151,0.505,0.825,0.979
0.598,-0.138,0.488,0.826,0.969
0.601,-0.130,0.479,0.825,0.963
0.604,-0.136,0.454,0.828,0.954
0.606,-0.139,0.436,0.825,0.944
0.608,-0.146,0.407,0.823,0.929
0.610,-0.157,0.409,0.818,0.928
0.613,-0.167,0.414,0.805,0.920
0.615,-0.175,0.416,0.800,0.918
