time,x,y,z,gforce
0.007,-0.429,0.565,0.258,0.755
0.007,-0.409,0.576,0.255,0.751
0.007,-0.389,0.585,0.241,0.743
0.009,-0.388,0.595,0.255,0.755
0.010,-0.388,0.608,0.255,0.765
0.013,-0.379,0.626,0.268,0.779
0.015,-0.377,0.645,0.301,0.805
0.018,-0.375,0.653,0.314,0.816
0.020,-0.378,0.652,0.351,0.831
0.023,-0.382,0.654,0.373,0.844
0.025,-0.381,0.648,0.405,0.854
0.027,-0.380,0.642,0.423,0.858
0.030,-0.376,0.639,0.450,0.867
0.034,-0.392,0.614,0.456,0.860
0.035,-0.406,0.628,0.480,0.888
0.037,-0.407,0.622,0.503,0.898
0.040,-0.409,0.613,0.516,0.900
0.042,-0.407,0.604,0.527,0.899
0.045,-0.406,0.605,0.559,0.918
0.047,-0.391,0.596,0.589,0.924
0.050,-0.392,0.577,0.595,0.917
0.052,-0.391,0.575,0.607,0.923
0.055,-0.374,0.560,0.632,0.923
0.057,-0.355,0.542,0.632,0.905
0.059,-0.339,0.518,0.614,0.872
0.062,-0.348,0.504,0.610,0.865
0.065,-0.347,0.519,0.661,0.909
0.068,-0.350,0.510,0.723,0.952
0.070,-0.346,0.503,0.773,0.985
0.072,-0.345,0.488,0.820,1.015
0.075,-0.345,0.476,0.832,1.019
0.077,-0.350,0.470,0.873,1.052
0.080,-0.353,0.454,0.881,1.052
0.082,-0.354,0.452,0.913,1.079
0.085,-0.360,0.437,0.914,1.075
0.087,-0.359,0.428,0.932,1.087
0.089,-0.361,0.433,0.932,1.089
0.092,-0.370,0.439,0.935,1.097
0.094,-0.377,0.433,0.934,1.096
0.097,-0.385,0.439,0.925,1.094
0.109,-0.398,0.435,0.914,1.087
0.109,-0.414,0.430,0.905,1.084
0.109,-0.408,0.435,0.877,1.061
0.109,-0.414,0.432,0.858,1.046
0.110,-0.416,0.430,0.832,1.025
0.111,-0.413,0.424,0.810,1.003
0.114,-0.418,0.423,0.797,0.995
0.117,-0.431,0.428,0.797,1.002
0.121,-0.424,0.428,0.800,1.002
0.122,-0.415,0.431,0.811,1.008
0.124,-0.400,0.437,0.833,1.023
0.127,-0.389,0.447,0.852,1.038
0.129,-0.380,0.453,0.874,1.055
0.132,-0.360,0.472,0.897,1.076
0.134,-0.334,0.480,0.924,1.094
0.137,-0.323,0.477,0.946,1.108
0.139,-0.295,0.489,0.966,1.122
0.142,-0.277,0.487,0.983,1.132
0.144,-0.253,0.493,0.983,1.128
0.146,-0.240,0.499,0.988,1.132
0.149,-0.223,0.493,1.000,1.137
0.151,-0.205,0.486,1.011,1.141
0.154,-0.194,0.488,1.028,1.154
0.156,-0.179,0.486,1.021,1.144
0.159,-0.177,0.485,1.020,1.143
0.161,-0.165,0.480,1.021,1.140
0.164,-0.160,0.473,1.005,1.122
0.167,-0.163,0.459,0.996,1.109
0.169,-0.160,0.453,0.971,1.083
0.171,-0.156,0.442,0.959,1.067
0.174,-0.160,0.437,0.952,1.060
0.176,-0.158,0.426,0.940,1.044
0.179,-0.162,0.415,0.928,1.030
0.181,-0.159,0.394,0.922,1.015
0.184,-0.164,0.375,0.913,1.001
0.186,-0.161,0.354,0.906,0.986
0.189,-0.169,0.343,0.911,0.988
0.191,-0.174,0.322,0.894,0.966
0.194,-0.164,0.306,0.903,0.967
0.196,-0.170,0.293,0.907,0.969
0.199,-0.170,0.280,0.920,0.977
0.210,-0.176,0.280,0.923,0.981
0.210,-0.175,0.268,0.926,0.980
0.210,-0.179,0.272,0.955,1.009
0.211,-0.188,0.273,0.963,1.019
0.211,-0.193,0.277,0.986,1.042
0.214,-0.196,0.276,0.991,1.048
0.216,-0.199,0.281,1.004,1.061
0.219,-0.208,0.282,1.023,1.082
0.222,-0.205,0.286,1.032,1.091
0.223,-0.205,0.299,1.046,1.107
0.226,-0.216,0.309,1.058,1.123
0.228,-0.213,0.311,1.058,1.123
0.231,-0.210,0.326,1.071,1.139
0.234,-0.213,0.335,1.083,1.154
0.236,-0.214,0.341,1.094,1.165
0.239,-0.222,0.357,1.088,1.166
0.241,-0.218,0.366,1.092,1.172
0.243,-0.222,0.386,1.086,1.174
0.246,-0.229,0.397,1.078,1.171
0.249,-0.235,0.411,1.057,1.158
0.251,-0.240,0.417,1.028,1.135
0.253,-0.252,0.425,0.997,1.113
0.257,-0.249,0.442,0.977,1.101
0.258,-0.241,0.443,0.944,1.070
0.260,-0.241,0.457,0.920,1.055
0.263,-0.238,0.454,0.888,1.025
0.265,-0.228,0.461,0.874,1.014
0.268,-0.224,0.450,0.853,0.990
0.271,-0.206,0.447,0.851,0.983
0.273,-0.202,0.444,0.854,0.983
0.275,-0.178,0.440,0.848,0.972
0.278,-0.153,0.430,0.855,0.970
