time,x,y,z,gforce
0.012,-0.170,0.433,0.891,1.005
0.013,-0.156,0.430,0.902,1.012
0.013,-0.155,0.432,0.911,1.020
0.013,-0.150,0.429,0.930,1.035
0.013,-0.145,0.431,0.938,1.043
0.014,-0.147,0.436,0.941,1.047
0.017,-0.148,0.433,0.944,1.049
0.018,-0.151,0.437,0.942,1.050
0.021,-0.158,0.443,0.939,1.050
0.023,-0.164,0.443,0.934,1.046
0.026,-0.177,0.445,0.918,1.035
0.028,-0.173,0.444,0.911,1.028
0.031,-0.185,0.447,0.910,1.030
0.036,-0.189,0.444,0.899,1.020
0.036,-0.191,0.448,0.896,1.019
0.038,-0.183,0.449,0.888,1.011
0.041,-0.186,0.455,0.895,1.021
0.043,-0.187,0.454,0.899,1.025
0.046,-0.194,0.452,0.902,1.028
0.048,-0.193,0.458,0.917,1.043
0.052,-0.197,0.452,0.922,1.045
0.053,-0.194,0.458,0.928,1.053
0.056,-0.183,0.456,0.920,1.043
0.058,-0.186,0.456,0.929,1.052
0.060,-0.180,0.452,0.921,1.042
0.063,-0.174,0.457,0.924,1.046
0.068,-0.168,0.454,0.914,1.034
0.068,-0.170,0.456,0.898,1.021
0.072,-0.165,0.456,0.895,1.018
0.073,-0.160,0.444,0.880,0.999
0.076,-0.167,0.451,0.873,0.997
0.078,-0.162,0.455,0.868,0.994
0.080,-0.162,0.456,0.857,0.985
0.092,-0.167,0.458,0.855,0.984
0.092,-0.162,0.456,0.849,0.977
0.093,-0.171,0.452,0.841,0.970
0.093,-0.175,0.449,0.847,0.974
0.093,-0.175,0.452,0.839,0.969
0.095,-0.171,0.452,0.839,0.968
0.098,-0.166,0.456,0.841,0.971
0.100,-0.168,0.458,0.841,0.972
0.103,-0.164,0.452,0.841,0.969
0.106,-0.165,0.452,0.843,0.970
0.108,-0.160,0.457,0.842,0.972
0.110,-0.166,0.450,0.849,0.975
0.113,-0.160,0.455,0.843,0.971
0.115,-0.156,0.444,0.848,0.970
0.124,-0.165,0.452,0.839,0.967
0.124,-0.162,0.445,0.859,0.981
0.124,-0.163,0.445,0.866,0.987
0.125,-0.170,0.453,0.868,0.994
0.128,-0.162,0.448,0.872,0.993
0.131,-0.157,0.445,0.874,0.993
0.132,-0.160,0.454,0.886,1.008
0.135,-0.159,0.452,0.888,1.009
0.137,-0.156,0.446,0.892,1.010
0.142,-0.159,0.448,0.911,1.028
0.143,-0.168,0.446,0.920,1.037
0.145,-0.169,0.452,0.935,1.052
0.147,-0.166,0.457,0.932,1.051
0.162,-0.169,0.460,0.933,1.054
0.162,-0.170,0.457,0.939,1.058
0.163,-0.168,0.464,0.935,1.057
0.163,-0.170,0.471,0.928,1.054
0.164,-0.178,0.467,0.932,1.058
0.164,-0.175,0.465,0.921,1.047
0.165,-0.170,0.464,0.919,1.044
0.170,-0.176,0.470,0.912,1.041
0.170,-0.176,0.462,0.910,1.035
0.172,-0.180,0.466,0.899,1.028
0.174,-0.176,0.465,0.894,1.023
0.177,-0.180,0.460,0.886,1.014
0.179,-0.173,0.463,0.887,1.016
0.182,-0.183,0.459,0.880,1.009
0.184,-0.173,0.460,0.878,1.006
0.187,-0.173,0.460,0.874,1.003
0.189,-0.174,0.461,0.869,0.999
0.192,-0.171,0.460,0.864,0.994
0.194,-0.174,0.459,0.868,0.997
0.197,-0.177,0.454,0.869,0.996
0.200,-0.172,0.460,0.869,0.998
0.202,-0.173,0.451,0.871,0.996
0.204,-0.173,0.447,0.870,0.993
0.207,-0.171,0.440,0.870,0.990
0.209,-0.164,0.453,0.861,0.987
0.214,-0.172,0.450,0.868,0.992
0.214,-0.173,0.451,0.883,1.007
0.217,-0.171,0.444,0.874,0.995
0.219,-0.170,0.449,0.877,1.000
0.222,-0.168,0.442,0.891,1.009
0.224,-0.170,0.438,0.894,1.010
0.226,-0.159,0.446,0.893,1.011
0.229,-0.159,0.443,0.911,1.026
0.231,-0.162,0.452,0.899,1.019
0.234,-0.162,0.448,0.907,1.025
0.237,-0.163,0.449,0.904,1.023
0.239,-0.167,0.441,0.915,1.029
0.241,-0.168,0.444,0.905,1.022
0.244,-0.169,0.452,0.913,1.033
0.246,-0.165,0.442,0.916,1.030
0.249,-0.173,0.445,0.915,1.032
0.253,-0.171,0.450,0.927,1.044
0.254,-0.169,0.443,0.931,1.045
0.256,-0.172,0.451,0.934,1.051
0.259,-0.174,0.444,0.931,1.046
0.261,-0.182,0.438,0.934,1.047
0.264,-0.170,0.441,0.933,1.046
0.267,-0.173,0.449,0.930,1.047
0.269,-0.170,0.447,0.942,1.056
0.271,-0.171,0.450,0.941,1.057
0.274,-0.172,0.444,0.938,1.051
0.276,-0.166,0.448,0.926,1.042
0.279,-0.169,0.450,0.922,1.040
