time,x,y,z,gforce
0.007,-0.659,0.361,0.898,1.171
0.008,-0.663,0.331,0.874,1.146
0.008,-0.671,0.310,0.854,1.129
0.008,-0.677,0.293,0.841,1.118
0.010,-0.673,0.276,0.832,1.105
0.013,-0.663,0.261,0.827,1.092
0.022,-0.654,0.261,0.842,1.098
0.023,-0.637,0.256,0.847,1.090
0.024,-0.619,0.247,0.857,1.086
0.024,-0.592,0.254,0.875,1.086
0.025,-0.569,0.259,0.887,1.085
0.028,-0.545,0.263,0.905,1.089
0.030,-0.517,0.269,0.927,1.095
0.033,-0.496,0.277,0.931,1.091
0.035,-0.478,0.286,0.959,1.109
0.038,-0.453,0.282,0.972,1.109
0.040,-0.430,0.299,1.002,1.131
0.043,-0.413,0.311,1.017,1.141
0.045,-0.391,0.312,1.045,1.159
0.053,-0.381,0.321,1.059,1.171
0.054,-0.357,0.308,1.077,1.176
0.054,-0.347,0.313,1.091,1.187
0.055,-0.329,0.312,1.099,1.189
0.058,-0.315,0.307,1.109,1.193
0.060,-0.313,0.294,1.110,1.190
0.063,-0.307,0.290,1.118,1.196
0.065,-0.299,0.290,1.118,1.193
0.074,-0.307,0.282,1.110,1.186
0.074,-0.316,0.273,1.108,1.184
0.074,-0.325,0.269,1.099,1.178
0.075,-0.329,0.267,1.079,1.159
0.084,-0.354,0.253,1.063,1.148
0.085,-0.367,0.246,1.048,1.137
0.085,-0.384,0.237,1.025,1.120
0.087,-0.403,0.233,0.995,1.098
0.088,-0.420,0.228,0.976,1.087
0.091,-0.438,0.220,0.946,1.066
0.093,-0.460,0.221,0.923,1.055
0.095,-0.472,0.221,0.886,1.028
0.097,-0.486,0.221,0.860,1.012
0.100,-0.501,0.223,0.830,0.995
0.102,-0.511,0.228,0.814,0.988
0.105,-0.527,0.222,0.788,0.973
0.107,-0.533,0.235,0.764,0.961
0.114,-0.533,0.236,0.745,0.946
0.115,-0.539,0.250,0.731,0.942
0.116,-0.541,0.255,0.711,0.929
0.119,-0.534,0.260,0.693,0.913
0.120,-0.534,0.273,0.686,0.911
0.122,-0.530,0.285,0.671,0.901
0.125,-0.523,0.298,0.673,0.903
0.127,-0.520,0.305,0.674,0.904
0.130,-0.515,0.319,0.658,0.895
0.132,-0.501,0.327,0.668,0.897
0.135,-0.486,0.340,0.673,0.897
0.137,-0.478,0.347,0.685,0.905
0.146,-0.461,0.353,0.696,0.906
0.147,-0.449,0.359,0.703,0.908
0.147,-0.427,0.355,0.723,0.912
0.147,-0.413,0.365,0.730,0.915
0.151,-0.391,0.370,0.740,0.915
0.152,-0.377,0.360,0.767,0.928
0.155,-0.351,0.364,0.784,0.933
0.157,-0.335,0.365,0.796,0.938
0.159,-0.315,0.363,0.811,0.943
0.162,-0.303,0.358,0.824,0.948
0.164,-0.289,0.349,0.844,0.958
0.167,-0.276,0.352,0.853,0.963
0.169,-0.275,0.362,0.870,0.982
0.176,-0.269,0.354,0.884,0.990
0.177,-0.261,0.360,0.898,1.003
0.179,-0.268,0.364,0.912,1.018
0.180,-0.263,0.359,0.924,1.025
0.181,-0.266,0.355,0.929,1.029
0.184,-0.270,0.348,0.935,1.034
0.187,-0.270,0.355,0.939,1.040
0.189,-0.278,0.350,0.939,1.040
0.191,-0.286,0.343,0.942,1.042
0.194,-0.297,0.343,0.939,1.042
0.197,-0.316,0.336,0.934,1.042
0.203,-0.323,0.343,0.925,1.038
0.208,-0.338,0.337,0.922,1.038
0.210,-0.356,0.336,0.921,1.043
0.211,-0.377,0.339,0.906,1.038
0.211,-0.384,0.326,0.907,1.038
0.212,-0.402,0.340,0.900,1.042
0.214,-0.411,0.341,0.891,1.039
0.218,-0.427,0.340,0.889,1.043
0.219,-0.442,0.340,0.885,1.046
0.221,-0.450,0.347,0.880,1.048
0.224,-0.460,0.344,0.869,1.042
0.226,-0.467,0.347,0.865,1.042
0.229,-0.473,0.345,0.864,1.044
0.231,-0.480,0.343,0.856,1.040
0.240,-0.486,0.344,0.855,1.042
0.241,-0.491,0.351,0.839,1.034
0.241,-0.496,0.352,0.835,1.033
0.241,-0.495,0.353,0.829,1.028
0.244,-0.496,0.346,0.827,1.024
0.246,-0.506,0.351,0.817,1.024
0.249,-0.507,0.348,0.809,1.016
0.251,-0.513,0.355,0.801,1.016
0.254,-0.514,0.354,0.793,1.010
0.256,-0.513,0.360,0.785,1.005
0.259,-0.518,0.363,0.784,1.007
0.261,-0.515,0.363,0.776,0.999
0.264,-0.509,0.367,0.784,1.004
0.275,-0.512,0.374,0.786,1.009
0.275,-0.500,0.371,0.798,1.012
0.275,-0.494,0.369,0.784,0.997
0.275,-0.488,0.371,0.799,1.007
0.276,-0.481,0.381,0.798,1.007
0.279,-0.468,0.384,0.801,1.004
0.281,-0.456,0.375,0.809,1.002
0.286,-0.450,0.375,0.814,1.003
0.286,-0.445,0.379,0.823,1.009
0.289,-0.425,0.388,0.824,1.005
0.291,-0.421,0.382,0.849,1.021
0.294,-0.401,0.380,0.859,1.021
0.296,-0.395,0.390,0.877,1.038
0.299,-0.376,0.395,0.892,1.046
0.302,-0.358,0.392,0.908,1.052
0.303,-0.357,0.390,0.914,1.056
0.306,-0.343,0.392,0.932,1.068
0.308,-0.330,0.399,0.941,1.074
0.311,-0.320,0.395,0.948,1.076
0.313,-0.317,0.390,0.952,1.077
0.325,-0.304,0.388,0.954,1.074
0.325,-0.307,0.379,0.948,1.066
0.326,-0.304,0.377,0.951,1.067
0.326,-0.308,0.375,0.952,1.068
0.326,-0.311,0.374,0.939,1.057
0.329,-0.316,0.371,0.934,1.053
0.331,-0.321,0.372,0.921,1.044
0.343,-0.337,0.370,0.914,1.042
0.344,-0.348,0.367,0.901,1.033
0.344,-0.355,0.368,0.894,1.030
0.344,-0.368,0.379,0.880,1.026
0.344,-0.377,0.379,0.866,1.018
0.345,-0.376,0.380,0.853,1.007
0.348,-0.385,0.380,0.844,1.002
0.353,-0.391,0.382,0.827,0.991
0.356,-0.401,0.378,0.815,0.984
0.356,-0.404,0.382,0.804,0.977
0.358,-0.405,0.387,0.794,0.972
0.360,-0.412,0.388,0.783,0.966
0.363,-0.415,0.386,0.778,0.962
0.365,-0.420,0.384,0.763,0.952
0.371,-0.418,0.390,0.756,0.948
0.372,-0.427,0.392,0.754,0.951
0.374,-0.429,0.389,0.738,0.938
0.375,-0.423,0.394,0.736,0.936
0.378,-0.418,0.396,0.725,0.926
0.380,-0.419,0.398,0.729,0.930
0.383,-0.423,0.405,0.715,0.925
0.385,-0.416,0.403,0.710,0.917
0.390,-0.418,0.401,0.706,0.913
0.391,-0.417,0.405,0.693,0.904
0.393,-0.408,0.409,0.684,0.895
0.395,-0.410,0.413,0.665,0.884
0.398,-0.408,0.408,0.653,0.871
0.403,-0.395,0.408,0.648,0.862
0.403,-0.392,0.411,0.628,0.847
0.405,-0.394,0.420,0.632,0.855
0.408,-0.382,0.419,0.631,0.848
0.410,-0.376,0.436,0.621,0.847
0.412,-0.379,0.438,0.620,0.849
0.415,-0.376,0.453,0.630,0.862
0.418,-0.363,0.454,0.633,0.859
0.420,-0.354,0.457,0.633,0.857
0.423,-0.346,0.456,0.646,0.864
0.425,-0.343,0.471,0.655,0.876
0.428,-0.328,0.469,0.659,0.873
0.431,-0.321,0.478,0.671,0.884
0.432,-0.314,0.468,0.683,0.886
0.435,-0.305,0.473,0.692,0.892
0.437,-0.294,0.468,0.705,0.895
0.440,-0.279,0.468,0.724,0.906
0.442,-0.273,0.467,0.740,0.916
