time,x,y,z,gforce
0.016,-0.296,0.550,0.610,0.873
0.016,-0.301,0.545,0.589,0.857
0.016,-0.319,0.553,0.606,0.880
0.016,-0.302,0.558,0.633,0.896
0.016,-0.275,0.562,0.666,0.914
0.017,-0.262,0.546,0.694,0.921
0.019,-0.251,0.529,0.718,0.926
0.020,-0.275,0.516,0.719,0.927
0.022,-0.317,0.528,0.742,0.964
0.025,-0.362,0.532,0.769,1.002
0.027,-0.391,0.542,0.798,1.041
0.029,-0.412,0.543,0.826,1.071
0.033,-0.416,0.535,0.844,1.083
0.035,-0.423,0.533,0.865,1.101
0.037,-0.425,0.529,0.880,1.111
0.039,-0.411,0.512,0.885,1.102
0.042,-0.413,0.501,0.889,1.101
0.044,-0.405,0.501,0.884,1.094
0.047,-0.408,0.495,0.886,1.094
0.050,-0.423,0.502,0.892,1.108
0.052,-0.425,0.503,0.892,1.108
0.054,-0.429,0.517,0.897,1.120
0.057,-0.432,0.523,0.903,1.129
0.059,-0.431,0.527,0.905,1.132
0.062,-0.422,0.531,0.917,1.140
0.064,-0.418,0.537,0.914,1.140
0.067,-0.410,0.534,0.913,1.134
0.070,-0.407,0.536,0.920,1.140
0.072,-0.406,0.520,0.908,1.122
0.074,-0.396,0.524,0.894,1.109
0.076,-0.393,0.528,0.886,1.104
0.080,-0.390,0.529,0.871,1.091
0.081,-0.389,0.528,0.866,1.087
0.084,-0.388,0.536,0.854,1.080
0.086,-0.387,0.527,0.840,1.065
0.090,-0.379,0.532,0.843,1.066
0.091,-0.369,0.534,0.840,1.062
0.094,-0.356,0.526,0.841,1.054
0.096,-0.348,0.522,0.832,1.042
0.102,-0.342,0.519,0.830,1.036
0.103,-0.334,0.502,0.835,1.030
0.104,-0.327,0.495,0.826,1.016
0.106,-0.326,0.495,0.820,1.012
0.109,-0.312,0.486,0.819,1.003
0.111,-0.306,0.469,0.824,0.996
0.114,-0.296,0.470,0.823,0.993
0.117,-0.280,0.458,0.818,0.978
0.119,-0.260,0.447,0.816,0.966
0.121,-0.253,0.438,0.813,0.957
0.123,-0.238,0.430,0.806,0.944
0.126,-0.222,0.425,0.812,0.943
0.129,-0.206,0.417,0.800,0.925
0.131,-0.187,0.409,0.787,0.906
0.134,-0.184,0.398,0.782,0.896
0.136,-0.168,0.390,0.762,0.872
0.139,-0.164,0.386,0.748,0.857
0.141,-0.168,0.391,0.744,0.857
0.143,-0.181,0.398,0.729,0.850
0.146,-0.206,0.408,0.716,0.850
0.149,-0.223,0.418,0.719,0.861
0.151,-0.254,0.425,0.707,0.863
0.153,-0.279,0.444,0.700,0.874
0.156,-0.309,0.458,0.689,0.883
0.158,-0.346,0.478,0.681,0.901
0.161,-0.363,0.495,0.671,0.909
0.163,-0.395,0.510,0.658,0.921
0.166,-0.414,0.510,0.651,0.925
0.168,-0.443,0.520,0.642,0.938
0.171,-0.458,0.528,0.629,0.940
0.173,-0.478,0.526,0.624,0.946
0.176,-0.497,0.528,0.621,0.955
0.178,-0.501,0.530,0.627,0.962
0.182,-0.496,0.523,0.636,0.961
0.185,-0.497,0.520,0.651,0.970
0.187,-0.480,0.525,0.662,0.972
0.190,-0.474,0.515,0.680,0.976
0.190,-0.460,0.501,0.699,0.975
0.193,-0.441,0.495,0.722,0.980
0.195,-0.421,0.474,0.738,0.973
0.198,-0.400,0.466,0.755,0.973
0.202,-0.373,0.448,0.780,0.974
0.204,-0.347,0.439,0.805,0.981
0.206,-0.310,0.426,0.807,0.964
0.208,-0.295,0.409,0.836,0.976
0.210,-0.262,0.403,0.838,0.966
0.213,-0.235,0.386,0.851,0.964
0.215,-0.221,0.377,0.862,0.966
0.219,-0.187,0.371,0.859,0.955
0.220,-0.172,0.366,0.857,0.948
0.223,-0.149,0.363,0.858,0.943
0.225,-0.136,0.346,0.850,0.928
0.227,-0.121,0.342,0.849,0.923
0.230,-0.101,0.330,0.838,0.906
0.232,-0.093,0.330,0.825,0.894
0.235,-0.085,0.327,0.816,0.883
0.238,-0.070,0.333,0.802,0.871
0.240,-0.070,0.330,0.783,0.853
0.242,-0.063,0.334,0.768,0.840
0.245,-0.064,0.337,0.752,0.827
0.247,-0.077,0.343,0.730,0.811
0.253,-0.095,0.347,0.705,0.792
0.253,-0.113,0.363,0.686,0.785
0.255,-0.129,0.366,0.647,0.755
0.257,-0.169,0.376,0.612,0.738
0.260,-0.245,0.351,0.588,0.727
0.262,-0.334,0.321,0.572,0.737
0.264,-0.382,0.338,0.559,0.757
0.268,-0.393,0.375,0.558,0.778
0.270,-0.383,0.411,0.569,0.799
0.272,-0.353,0.457,0.559,0.804
0.275,-0.337,0.471,0.566,0.810
0.277,-0.325,0.480,0.557,0.804
0.279,-0.280,0.413,0.568,0.756
0.282,-0.265,0.396,0.553,0.730
0.285,-0.299,0.427,0.546,0.754
0.287,-0.337,0.463,0.567,0.806
0.289,-0.382,0.473,0.599,0.854
0.291,-0.437,0.479,0.613,0.892
0.294,-0.478,0.466,0.642,0.926
0.297,-0.579,0.398,0.642,0.951
0.299,-0.815,0.236,0.652,1.070
0.302,-0.803,0.275,0.692,1.095
0.304,-0.788,0.299,0.720,1.109
0.307,-0.778,0.318,0.750,1.127
0.309,-0.756,0.340,0.792,1.146
0.312,-0.739,0.365,0.844,1.180
0.314,-0.704,0.385,0.887,1.196
0.318,-0.674,0.396,0.910,1.199
0.319,-0.617,0.403,0.948,1.201
0.322,-0.535,0.402,0.989,1.194
0.324,-0.444,0.403,1.028,1.190
0.327,-0.357,0.394,1.059,1.185
0.329,-0.270,0.388,1.108,1.204
0.331,-0.220,0.383,1.130,1.213
0.334,-0.171,0.369,1.157,1.226
0.336,-0.163,0.361,1.164,1.230
0.339,-0.140,0.355,1.174,1.235
0.341,-0.115,0.352,1.173,1.230
0.344,-0.087,0.346,1.164,1.217
0.346,-0.057,0.333,1.152,1.201
0.349,-0.037,0.326,1.123,1.170
0.352,0.004,0.331,1.098,1.147
0.354,0.030,0.325,1.053,1.103
0.358,0.051,0.339,1.008,1.065
0.359,0.080,0.344,0.945,1.009
0.361,0.097,0.352,0.875,0.948
0.364,0.110,0.360,0.806,0.890
0.368,0.123,0.374,0.739,0.837
0.369,0.120,0.391,0.650,0.768
0.371,0.101,0.404,0.580,0.714
0.375,0.077,0.408,0.507,0.655
0.376,0.048,0.408,0.452,0.611
0.379,0.020,0.406,0.418,0.583
0.381,-0.008,0.402,0.382,0.555
0.394,-0.035,0.412,0.366,0.552
0.395,-0.068,0.412,0.355,0.548
0.395,-0.119,0.414,0.348,0.553
0.395,-0.185,0.420,0.357,0.581
0.395,-0.257,0.431,0.377,0.628
0.396,-0.326,0.434,0.397,0.673
0.398,-0.408,0.449,0.426,0.741
0.402,-0.476,0.470,0.454,0.809
0.406,-0.544,0.471,0.481,0.866
0.406,-0.597,0.473,0.506,0.914
0.408,-0.649,0.480,0.526,0.963
0.411,-0.679,0.473,0.545,0.991
0.413,-0.691,0.470,0.555,1.003
0.415,-0.703,0.461,0.582,1.022
0.418,-0.686,0.442,0.597,1.011
0.420,-0.669,0.431,0.623,1.010
0.423,-0.622,0.418,0.658,0.997
0.425,-0.594,0.406,0.686,0.994
0.431,-0.544,0.391,0.722,0.985
0.431,-0.489,0.372,0.750,0.970
0.433,-0.433,0.357,0.770,0.953
0.435,-0.373,0.337,0.807,0.951
0.438,-0.331,0.336,0.833,0.957
0.440,-0.293,0.324,0.881,0.983
0.443,-0.245,0.310,0.914,0.996
0.445,-0.201,0.276,0.941,1.001
0.448,-0.146,0.263,0.956,1.002
0.451,-0.101,0.234,0.957,0.990
0.453,-0.058,0.211,0.946,0.971
0.455,-0.027,0.193,0.933,0.953
0.458,-0.021,0.167,0.916,0.931
0.460,-0.008,0.157,0.890,0.903
0.463,-0.023,0.142,0.863,0.875
0.465,-0.037,0.118,0.834,0.843
0.468,-0.001,0.009,0.804,0.804
0.470,-0.045,0.019,0.784,0.786
0.472,-0.104,0.047,0.767,0.775
0.475,-0.168,0.059,0.752,0.773
0.477,-0.231,0.103,0.737,0.779
0.480,-0.266,0.137,0.726,0.786
0.482,-0.322,0.173,0.706,0.795
0.487,-0.370,0.192,0.696,0.812
0.488,-0.403,0.224,0.679,0.821
0.491,-0.445,0.241,0.672,0.841
0.492,-0.480,0.277,0.675,0.874
0.495,-0.491,0.287,0.682,0.888
0.497,-0.504,0.298,0.682,0.899
0.500,-0.486,0.308,0.695,0.902
0.502,-0.459,0.317,0.698,0.893
0.505,-0.409,0.331,0.719,0.891
0.507,-0.370,0.328,0.736,0.887
0.510,-0.323,0.333,0.778,0.905
0.512,-0.287,0.338,0.778,0.896
0.515,-0.270,0.330,0.802,0.908
0.517,-0.265,0.342,0.792,0.903
0.520,-0.252,0.339,0.793,0.899
0.522,-0.280,0.323,0.775,0.886
0.524,-0.290,0.318,0.755,0.869
0.527,-0.279,0.325,0.742,0.857
0.529,-0.275,0.309,0.727,0.837
0.532,-0.257,0.310,0.717,0.822
0.535,-0.242,0.304,0.711,0.810
0.537,-0.229,0.296,0.703,0.797
0.539,-0.220,0.294,0.713,0.802
0.542,-0.220,0.287,0.714,0.800
0.544,-0.229,0.273,0.721,0.804
0.547,-0.249,0.267,0.724,0.811
0.549,-0.275,0.252,0.728,0.818
0.552,-0.303,0.250,0.740,0.838
0.554,-0.321,0.238,0.756,0.855
0.557,-0.340,0.235,0.764,0.868
0.560,-0.347,0.221,0.790,0.890
0.562,-0.357,0.208,0.798,0.898
0.564,-0.359,0.215,0.811,0.913
0.567,-0.376,0.209,0.831,0.935
0.569,-0.400,0.200,0.850,0.961
0.572,-0.417,0.199,0.860,0.976
0.574,-0.429,0.199,0.876,0.995
0.577,-0.455,0.197,0.909,1.036
0.579,-0.460,0.200,0.916,1.044
0.581,-0.464,0.212,0.930,1.061
0.584,-0.464,0.219,0.933,1.064
0.589,-0.466,0.219,0.927,1.060
0.589,-0.459,0.227,0.930,1.061
0.591,-0.463,0.237,0.927,1.063
0.594,-0.456,0.235,0.913,1.047
0.596,-0.447,0.247,0.889,1.025
0.599,-0.428,0.244,0.861,0.992
0.603,-0.418,0.240,0.819,0.950
0.604,-0.405,0.234,0.794,0.921
0.607,-0.393,0.223,0.754,0.879
0.609,-0.388,0.205,0.709,0.834
0.611,-0.374,0.192,0.689,0.807
0.614,-0.360,0.174,0.647,0.761
0.616,-0.326,0.170,0.606,0.709
0.622,-0.297,0.171,0.590,0.682
0.622,-0.275,0.162,0.557,0.642
0.624,-0.266,0.152,0.547,0.627
0.626,-0.265,0.147,0.534,0.614
0.628,-0.280,0.134,0.528,0.613
0.631,-0.289,0.131,0.522,0.611
0.633,-0.293,0.134,0.504,0.598
0.636,-0.310,0.142,0.504,0.608
0.638,-0.322,0.159,0.505,0.619
0.641,-0.346,0.177,0.497,0.631
0.643,-0.379,0.194,0.487,0.647
0.645,-0.430,0.231,0.492,0.693
0.648,-0.487,0.247,0.494,0.736
0.650,-0.547,0.274,0.503,0.792
0.653,-0.597,0.294,0.522,0.846
0.656,-0.641,0.306,0.558,0.904
0.658,-0.688,0.323,0.596,0.966
0.661,-0.716,0.325,0.654,1.023
0.663,-0.750,0.315,0.727,1.091
0.666,-0.779,0.304,0.781,1.144
0.670,-0.796,0.309,0.845,1.201
0.671,-0.817,0.303,0.903,1.255
0.673,-0.832,0.303,0.952,1.300
0.683,-0.848,0.303,1.003,1.348
0.683,-0.847,0.301,1.056,1.387
0.684,-0.847,0.306,1.100,1.422
0.684,-0.839,0.302,1.125,1.436
0.687,-0.831,0.295,1.134,1.437
0.688,-0.816,0.283,1.133,1.425
0.690,-0.804,0.270,1.131,1.414
0.693,-0.793,0.264,1.110,1.389
0.695,-0.775,0.254,1.089,1.360
0.698,-0.766,0.238,1.055,1.326
0.700,-0.755,0.240,1.044,1.310
0.703,-0.731,0.230,1.021,1.276
0.706,-0.718,0.229,0.986,1.241
0.708,-0.700,0.227,0.957,1.207
0.710,-0.698,0.216,0.931,1.184
0.712,-0.690,0.217,0.898,1.154
0.715,-0.678,0.224,0.876,1.130
0.719,-0.672,0.210,0.846,1.100
0.720,-0.658,0.218,0.802,1.060
0.723,-0.652,0.202,0.766,1.025
0.725,-0.645,0.198,0.716,0.984
0.727,-0.644,0.193,0.673,0.951
0.730,-0.654,0.202,0.621,0.925
0.732,-0.680,0.187,0.595,0.923
0.735,-0.704,0.188,0.584,0.933
0.737,-0.739,0.184,0.580,0.957
0.740,-0.770,0.182,0.594,0.990
0.742,-0.794,0.183,0.615,1.021
0.745,-0.808,0.188,0.658,1.059
0.747,-0.817,0.179,0.699,1.090
0.750,-0.822,0.185,0.745,1.125
0.752,-0.827,0.176,0.794,1.160
0.755,-0.839,0.178,0.836,1.198
0.757,-0.856,0.163,0.826,1.201
0.759,-0.854,0.161,0.837,1.207
0.762,-0.852,0.126,0.814,1.185
0.764,-0.890,0.079,0.630,1.093
0.767,-0.897,0.093,0.820,1.219
0.771,-0.936,0.088,0.895,1.298
0.772,-0.977,0.093,0.943,1.361
0.777,-1.019,0.075,0.983,1.417
0.777,-1.063,0.070,1.004,1.464
0.779,-1.099,0.072,1.008,1.493
0.782,-1.111,0.058,0.990,1.490
0.784,-1.085,0.066,0.979,1.462
0.787,-1.027,0.065,0.987,1.426
0.790,-0.962,0.079,0.987,1.381
0.791,-0.892,0.085,0.981,1.329
0.794,-0.840,0.095,0.953,1.274
0.796,-0.806,0.090,0.948,1.248
0.799,-0.775,0.084,1.020,1.284
0.802,-0.781,0.078,1.065,1.323
0.804,-0.790,0.059,1.101,1.356
0.807,-0.803,0.053,1.104,1.366
0.809,-0.841,0.043,1.083,1.372
0.811,-0.850,0.030,1.023,1.330
0.814,-0.850,0.008,0.969,1.289
0.816,-0.879,0.008,0.898,1.257
0.819,-0.899,0.010,0.855,1.241
0.821,-0.905,0.003,0.840,1.234
0.824,-0.891,-0.002,0.828,1.216
0.826,-0.884,-0.012,0.838,1.218
0.829,-0.879,-0.017,0.854,1.226
0.831,-0.879,-0.019,0.883,1.247
0.834,-0.879,-0.025,0.910,1.265
