time,x,y,z,gforce
0.007,-0.520,0.519,0.440,0.856
0.008,-0.419,0.524,0.548,0.866
0.008,-0.352,0.543,0.587,0.874
0.008,-0.338,0.570,0.621,0.909
0.010,-0.358,0.585,0.668,0.958
0.012,-0.380,0.592,0.684,0.982
0.015,-0.402,0.593,0.700,1.001
0.017,-0.422,0.596,0.701,1.012
0.020,-0.423,0.585,0.717,1.018
0.022,-0.424,0.580,0.738,1.030
0.024,-0.412,0.580,0.749,1.033
0.027,-0.408,0.569,0.765,1.037
0.029,-0.396,0.557,0.781,1.038
0.032,-0.383,0.555,0.789,1.038
0.034,-0.380,0.548,0.804,1.044
0.037,-0.367,0.548,0.803,1.039
0.039,-0.353,0.545,0.813,1.041
0.042,-0.343,0.536,0.813,1.033
0.044,-0.332,0.524,0.812,1.022
0.047,-0.327,0.526,0.811,1.021
0.049,-0.320,0.521,0.804,1.010
0.052,-0.309,0.513,0.801,1.000
0.055,-0.298,0.507,0.787,0.982
0.057,-0.297,0.501,0.776,0.970
0.059,-0.287,0.499,0.778,0.968
0.062,-0.286,0.496,0.778,0.966
0.065,-0.284,0.491,0.779,0.964
0.067,-0.288,0.495,0.800,0.983
0.070,-0.291,0.494,0.802,0.986
0.072,-0.295,0.489,0.830,1.007
0.078,-0.298,0.488,0.847,1.022
0.078,-0.297,0.491,0.862,1.036
0.079,-0.300,0.489,0.884,1.054
0.082,-0.303,0.483,0.897,1.063
0.084,-0.311,0.486,0.912,1.080
0.087,-0.310,0.485,0.924,1.089
0.089,-0.324,0.487,0.928,1.097
0.091,-0.325,0.491,0.930,1.101
0.094,-0.328,0.493,0.938,1.109
0.096,-0.326,0.487,0.933,1.102
0.099,-0.335,0.488,0.943,1.113
0.102,-0.336,0.490,0.938,1.110
0.107,-0.327,0.484,0.922,1.092
0.107,-0.327,0.477,0.916,1.083
0.109,-0.318,0.480,0.909,1.076
0.111,-0.318,0.475,0.904,1.069
0.114,-0.317,0.476,0.889,1.057
0.116,-0.320,0.466,0.878,1.045
0.119,-0.318,0.468,0.863,1.032
0.121,-0.316,0.470,0.858,1.029
0.123,-0.316,0.469,0.846,1.017
0.126,-0.310,0.468,0.841,1.011
0.129,-0.308,0.463,0.840,1.008
0.135,-0.308,0.464,0.824,0.994
0.139,-0.303,0.473,0.816,0.990
0.139,-0.302,0.475,0.810,0.987
0.139,-0.308,0.464,0.801,0.975
0.141,-0.312,0.486,0.798,0.985
0.144,-0.303,0.479,0.785,0.968
0.146,-0.302,0.479,0.787,0.969
0.149,-0.297,0.479,0.775,0.958
0.151,-0.291,0.463,0.767,0.942
0.153,-0.281,0.469,0.772,0.946
0.156,-0.282,0.467,0.775,0.948
0.159,-0.272,0.457,0.780,0.944
0.166,-0.271,0.463,0.775,0.943
0.166,-0.265,0.447,0.775,0.934
0.166,-0.252,0.458,0.774,0.934
0.168,-0.247,0.446,0.773,0.926
0.171,-0.245,0.453,0.767,0.924
0.173,-0.232,0.441,0.768,0.916
0.176,-0.228,0.439,0.774,0.919
0.178,-0.225,0.429,0.770,0.910
0.181,-0.218,0.421,0.782,0.915
0.183,-0.212,0.421,0.791,0.921
0.186,-0.208,0.419,0.797,0.924
0.189,-0.196,0.413,0.803,0.924
0.195,-0.195,0.416,0.811,0.933
0.196,-0.195,0.407,0.824,0.939
0.197,-0.191,0.409,0.812,0.930
