time,x,y,z,gforce
0.374,-0.299,0.533,0.671,0.907
0.377,-0.291,0.521,0.662,0.891
0.379,-0.281,0.519,0.653,0.880
0.382,-0.261,0.517,0.623,0.851
0.390,-0.255,0.514,0.601,0.831
0.391,-0.240,0.503,0.576,0.802
0.391,-0.227,0.506,0.557,0.786
0.392,-0.212,0.498,0.539,0.764
0.394,-0.209,0.501,0.507,0.743
0.397,-0.201,0.497,0.480,0.720
0.400,-0.192,0.507,0.442,0.700
0.402,-0.190,0.504,0.415,0.680
0.405,-0.194,0.511,0.372,0.661
0.407,-0.200,0.514,0.330,0.643
0.409,-0.212,0.505,0.291,0.620
0.417,-0.216,0.510,0.253,0.609
0.418,-0.236,0.506,0.218,0.599
0.418,-0.242,0.499,0.196,0.588
0.421,-0.248,0.497,0.182,0.585
0.422,-0.248,0.494,0.189,0.584
0.424,-0.249,0.496,0.200,0.590
0.426,-0.256,0.495,0.232,0.604
0.429,-0.261,0.489,0.253,0.610
0.432,-0.272,0.478,0.272,0.614
0.434,-0.277,0.484,0.293,0.630
0.436,-0.288,0.473,0.325,0.642
0.439,-0.296,0.462,0.370,0.662
0.447,-0.273,0.419,0.413,0.649
0.448,-0.108,0.207,0.419,0.480
0.450,-0.174,0.292,0.502,0.606
0.451,-0.238,0.386,0.576,0.733
0.452,-0.286,0.459,0.652,0.847
0.454,-0.321,0.492,0.719,0.928
0.456,-0.350,0.513,0.749,0.973
0.459,-0.356,0.500,0.793,1.003
0.461,-0.355,0.489,0.814,1.014
0.464,-0.351,0.473,0.839,1.025
0.467,-0.342,0.443,0.831,1.002
0.469,-0.326,0.428,0.807,0.970
0.471,-0.284,0.400,0.784,0.925
0.478,-0.239,0.383,0.748,0.874
0.480,-0.201,0.365,0.724,0.835
0.481,-0.169,0.357,0.698,0.801
0.481,-0.152,0.350,0.658,0.760
0.485,-0.159,0.341,0.612,0.718
0.486,-0.167,0.351,0.554,0.677
0.489,-0.182,0.357,0.506,0.646
0.491,-0.188,0.376,0.443,0.611
0.494,-0.205,0.397,0.397,0.598
0.496,-0.223,0.412,0.354,0.587
0.499,-0.245,0.431,0.320,0.590
0.503,-0.260,0.436,0.282,0.581
0.509,-0.290,0.433,0.252,0.579
0.510,-0.324,0.436,0.232,0.591
0.510,-0.347,0.438,0.219,0.601
0.511,-0.380,0.423,0.235,0.615
0.513,-0.389,0.414,0.263,0.626
0.516,-0.411,0.406,0.291,0.647
0.519,-0.415,0.405,0.332,0.668
0.521,-0.413,0.406,0.352,0.678
0.528,-0.430,0.404,0.385,0.704
0.528,-0.450,0.412,0.400,0.730
0.528,-0.476,0.414,0.416,0.756
0.531,-0.511,0.412,0.437,0.789
0.540,-0.528,0.414,0.450,0.808
0.541,-0.552,0.408,0.474,0.834
