time,x,y,z,gforce
0.013,-0.444,0.720,0.407,0.939
0.013,-0.425,0.729,0.398,0.933
0.013,-0.419,0.730,0.383,0.925
0.013,-0.408,0.733,0.382,0.922
0.013,-0.400,0.750,0.379,0.930
0.015,-0.384,0.759,0.378,0.931
0.017,-0.371,0.762,0.386,0.932
0.019,-0.364,0.777,0.389,0.942
0.022,-0.348,0.772,0.402,0.937
0.031,-0.338,0.769,0.418,0.939
0.031,-0.327,0.782,0.448,0.959
0.032,-0.310,0.776,0.469,0.958
0.032,-0.306,0.784,0.497,0.978
0.034,-0.295,0.788,0.538,0.999
0.037,-0.291,0.785,0.567,1.011
0.039,-0.284,0.797,0.606,1.041
0.048,-0.295,0.795,0.635,1.059
0.048,-0.302,0.791,0.660,1.073
0.049,-0.307,0.792,0.693,1.096
0.049,-0.314,0.784,0.711,1.104
0.051,-0.323,0.786,0.727,1.118
0.054,-0.333,0.776,0.746,1.126
0.056,-0.340,0.772,0.768,1.141
0.065,-0.343,0.765,0.777,1.143
0.065,-0.353,0.761,0.784,1.148
0.066,-0.358,0.759,0.790,1.153
0.067,-0.359,0.757,0.796,1.156
0.069,-0.365,0.755,0.791,1.153
0.071,-0.368,0.758,0.792,1.157
0.081,-0.375,0.758,0.780,1.150
0.082,-0.379,0.760,0.780,1.153
0.083,-0.383,0.784,0.756,1.155
0.083,-0.384,0.791,0.730,1.143
0.083,-0.393,0.798,0.706,1.136
0.086,-0.392,0.808,0.689,1.132
0.088,-0.394,0.799,0.656,1.106
0.098,-0.389,0.806,0.640,1.100
0.099,-0.385,0.801,0.618,1.083
0.099,-0.384,0.788,0.590,1.057
0.099,-0.383,0.789,0.568,1.045
0.101,-0.377,0.777,0.551,1.025
0.103,-0.381,0.783,0.541,1.025
0.106,-0.381,0.773,0.531,1.012
0.115,-0.387,0.781,0.520,1.015
0.115,-0.392,0.786,0.509,1.015
0.115,-0.403,0.790,0.509,1.023
0.115,-0.417,0.795,0.519,1.037
0.118,-0.420,0.806,0.517,1.046
0.121,-0.434,0.822,0.526,1.068
0.123,-0.452,0.830,0.529,1.083
0.131,-0.471,0.839,0.540,1.103
0.131,-0.473,0.856,0.556,1.125
0.131,-0.487,0.866,0.575,1.148
0.133,-0.487,0.879,0.601,1.171
0.135,-0.481,0.880,0.618,1.178
0.138,-0.473,0.879,0.653,1.192
0.150,-0.455,0.887,0.687,1.211
0.151,-0.431,0.893,0.707,1.218
0.151,-0.402,0.900,0.732,1.228
0.151,-0.375,0.903,0.756,1.236
0.151,-0.349,0.896,0.776,1.236
0.153,-0.325,0.889,0.794,1.235
0.155,-0.306,0.889,0.803,1.237
0.168,-0.283,0.879,0.814,1.231
0.168,-0.273,0.863,0.810,1.215
0.168,-0.263,0.850,0.804,1.199
0.168,-0.263,0.837,0.799,1.187
0.169,-0.267,0.822,0.794,1.173
0.170,-0.276,0.807,0.766,1.146
0.173,-0.290,0.789,0.739,1.119
0.182,-0.312,0.780,0.711,1.101
0.182,-0.336,0.774,0.675,1.081
0.182,-0.355,0.774,0.651,1.072
0.183,-0.385,0.776,0.614,1.062
0.185,-0.402,0.777,0.592,1.056
0.187,-0.418,0.775,0.566,1.046
0.190,-0.426,0.762,0.546,1.030
0.198,-0.430,0.761,0.523,1.019
0.199,-0.429,0.764,0.504,1.011
0.199,-0.438,0.747,0.470,0.985
0.200,-0.432,0.742,0.445,0.967
0.202,-0.431,0.722,0.420,0.940
0.205,-0.430,0.717,0.402,0.928
0.215,-0.433,0.704,0.386,0.912
0.215,-0.439,0.696,0.367,0.901
0.215,-0.442,0.682,0.358,0.888
0.215,-0.442,0.673,0.348,0.878
0.217,-0.444,0.663,0.344,0.869
0.220,-0.449,0.663,0.349,0.874
0.222,-0.455,0.668,0.355,0.883
0.232,-0.455,0.668,0.373,0.890
0.232,-0.450,0.668,0.385,0.893
0.232,-0.451,0.674,0.418,0.913
0.232,-0.452,0.680,0.440,0.927
0.235,-0.446,0.682,0.462,0.937
0.237,-0.453,0.688,0.497,0.962
0.239,-0.450,0.691,0.539,0.985
0.248,-0.459,0.700,0.575,1.016
0.248,-0.466,0.691,0.615,1.036
0.248,-0.479,0.693,0.666,1.074
0.255,-0.489,0.697,0.704,1.105
0.255,-0.493,0.697,0.757,1.141
0.255,-0.508,0.699,0.810,1.184
0.257,-0.528,0.715,0.839,1.222
0.265,-0.544,0.707,0.875,1.250
0.265,-0.542,0.704,0.897,1.262
0.265,-0.543,0.694,0.925,1.278
0.267,-0.556,0.685,0.950,1.296
0.269,-0.575,0.682,0.945,1.299
0.272,-0.586,0.683,0.946,1.306
0.282,-0.594,0.678,0.947,1.308
0.282,-0.605,0.669,0.937,1.300
0.282,-0.617,0.672,0.926,1.300
0.283,-0.624,0.671,0.912,1.293
0.284,-0.615,0.660,0.900,1.274
0.287,-0.607,0.658,0.885,1.259
0.289,-0.590,0.655,0.864,1.235
0.301,-0.576,0.653,0.848,1.215
0.301,-0.548,0.669,0.819,1.191
0.301,-0.526,0.678,0.797,1.171
0.301,-0.493,0.677,0.758,1.130
0.302,-0.463,0.670,0.732,1.095
0.304,-0.423,0.665,0.701,1.055
0.306,-0.385,0.657,0.679,1.020
0.315,-0.353,0.639,0.666,0.988
0.315,-0.316,0.628,0.650,0.957
0.315,-0.288,0.625,0.631,0.933
0.316,-0.257,0.622,0.629,0.921
0.319,-0.244,0.611,0.614,0.900
0.321,-0.230,0.603,0.600,0.881
0.324,-0.219,0.598,0.580,0.861
0.333,-0.210,0.586,0.575,0.847
0.333,-0.206,0.583,0.575,0.844
0.333,-0.200,0.557,0.566,0.819
0.333,-0.200,0.551,0.566,0.815
0.336,-0.194,0.543,0.557,0.802
0.339,-0.203,0.541,0.558,0.804
0.349,-0.212,0.536,0.548,0.795
0.349,-0.224,0.533,0.549,0.797
0.349,-0.240,0.532,0.551,0.803
0.349,-0.268,0.529,0.556,0.813
0.351,-0.289,0.540,0.565,0.834
0.353,-0.330,0.547,0.564,0.853
0.356,-0.363,0.558,0.570,0.876
0.366,-0.393,0.577,0.584,0.911
0.366,-0.430,0.591,0.599,0.945
0.366,-0.452,0.604,0.608,0.968
0.366,-0.480,0.625,0.643,1.018
0.368,-0.495,0.641,0.669,1.050
0.371,-0.511,0.643,0.691,1.074
0.373,-0.518,0.646,0.714,1.093
0.383,-0.532,0.657,0.735,1.121
0.383,-0.532,0.652,0.749,1.127
0.383,-0.537,0.648,0.767,1.139
0.383,-0.532,0.652,0.786,1.151
0.386,-0.527,0.651,0.810,1.165
0.388,-0.513,0.643,0.823,1.164
0.391,-0.497,0.648,0.821,1.158
0.400,-0.458,0.631,0.829,1.138
0.400,-0.429,0.622,0.824,1.118
0.400,-0.392,0.601,0.813,1.085
0.401,-0.362,0.590,0.808,1.064
0.403,-0.330,0.587,0.789,1.038
0.405,-0.291,0.575,0.763,0.998
0.416,-0.268,0.573,0.755,0.985
0.416,-0.239,0.558,0.743,0.959
0.416,-0.223,0.553,0.729,0.942
0.416,-0.198,0.554,0.717,0.927
0.418,-0.178,0.546,0.693,0.900
