time,x,y,z,gforce
0.382,0.016,0.609,0.751,0.967
0.385,0.030,0.620,0.760,0.981
0.388,0.045,0.617,0.764,0.983
0.390,0.049,0.625,0.766,0.990
0.392,0.054,0.622,0.764,0.986
0.395,0.059,0.608,0.764,0.978
0.398,0.059,0.600,0.769,0.977
0.400,0.055,0.595,0.769,0.974
0.402,0.046,0.590,0.764,0.966
0.405,0.046,0.575,0.772,0.964
0.407,0.043,0.582,0.777,0.972
0.410,0.041,0.574,0.778,0.968
0.412,0.046,0.575,0.789,0.977
0.415,0.058,0.572,0.796,0.982
0.417,0.060,0.575,0.795,0.983
0.420,0.062,0.578,0.805,0.992
0.422,0.068,0.577,0.816,1.002
0.425,0.060,0.587,0.826,1.015
0.427,0.060,0.583,0.836,1.021
0.429,0.063,0.588,0.853,1.038
0.432,0.061,0.597,0.863,1.051
0.435,0.056,0.601,0.872,1.061
0.437,0.052,0.602,0.873,1.061
0.440,0.052,0.599,0.883,1.068
0.442,0.043,0.607,0.868,1.060
0.444,0.037,0.601,0.863,1.052
0.447,0.045,0.596,0.846,1.036
0.449,0.047,0.596,0.845,1.035
0.452,0.048,0.596,0.848,1.038
0.454,0.049,0.606,0.841,1.038
0.457,0.051,0.595,0.839,1.030
0.459,0.058,0.611,0.829,1.031
0.462,0.064,0.609,0.818,1.022
0.465,0.065,0.613,0.811,1.019
0.467,0.070,0.621,0.808,1.021
0.469,0.067,0.625,0.803,1.020
0.472,0.056,0.621,0.798,1.012
0.474,0.051,0.626,0.794,1.013
0.476,0.040,0.624,0.797,1.013
0.479,0.045,0.619,0.790,1.005
0.481,0.046,0.623,0.784,1.002
0.484,0.048,0.617,0.775,0.992
0.487,0.050,0.618,0.770,0.989
0.489,0.051,0.618,0.756,0.977
0.492,0.046,0.621,0.751,0.976
0.494,0.041,0.615,0.744,0.966
0.501,0.042,0.616,0.730,0.956
0.501,0.047,0.614,0.732,0.957
0.502,0.048,0.613,0.722,0.948
0.514,0.040,0.610,0.716,0.941
0.514,0.032,0.612,0.709,0.937
0.514,0.037,0.599,0.720,0.937
0.514,0.025,0.610,0.708,0.935
0.514,0.021,0.614,0.713,0.941
0.516,0.021,0.610,0.708,0.935
0.519,0.017,0.617,0.712,0.942
0.523,0.008,0.622,0.719,0.951
0.524,0.010,0.630,0.727,0.963
0.526,0.008,0.626,0.729,0.961
0.529,0.023,0.622,0.732,0.961
0.534,0.022,0.616,0.738,0.961
0.536,0.020,0.616,0.746,0.968
0.537,0.024,0.627,0.765,0.989
0.539,0.037,0.621,0.769,0.989
0.541,0.045,0.620,0.790,1.005
0.544,0.050,0.625,0.793,1.011
0.546,0.046,0.623,0.813,1.025
0.549,0.046,0.636,0.820,1.039
0.552,0.049,0.628,0.829,1.041
0.554,0.041,0.628,0.835,1.046
0.556,0.034,0.620,0.848,1.051
0.558,0.021,0.629,0.848,1.056
0.561,0.012,0.634,0.855,1.065
0.563,0.019,0.631,0.856,1.064
0.566,0.026,0.626,0.864,1.068
0.568,0.039,0.625,0.868,1.070
0.571,0.041,0.630,0.868,1.073
0.573,0.043,0.632,0.858,1.066
0.576,0.039,0.631,0.855,1.064
0.578,0.045,0.629,0.851,1.059
0.582,0.042,0.619,0.840,1.044
0.583,0.038,0.618,0.825,1.032
0.586,0.030,0.614,0.816,1.022
0.588,0.035,0.615,0.804,1.013
0.591,0.036,0.616,0.806,1.015
0.593,0.036,0.615,0.783,0.996
0.596,0.040,0.611,0.776,0.988
0.599,0.037,0.615,0.755,0.974
0.601,0.038,0.618,0.743,0.967
0.603,0.029,0.620,0.734,0.961
0.605,0.029,0.626,0.725,0.958
0.608,0.019,0.617,0.726,0.953
0.610,0.017,0.623,0.725,0.956
0.613,0.015,0.618,0.724,0.952
0.615,0.005,0.617,0.724,0.951
0.618,-0.003,0.613,0.719,0.945
0.621,-0.001,0.617,0.717,0.946
0.623,-0.007,0.618,0.723,0.951
0.625,0.001,0.618,0.727,0.955
0.628,0.004,0.617,0.744,0.966
0.630,0.009,0.613,0.751,0.970
0.633,0.009,0.621,0.774,0.992
0.635,0.009,0.624,0.790,1.007
0.638,0.016,0.614,0.809,1.016
0.640,0.010,0.622,0.819,1.029
0.642,0.015,0.616,0.836,1.039
0.645,0.021,0.614,0.853,1.051
0.651,0.027,0.619,0.868,1.066
0.651,0.038,0.613,0.891,1.082
0.657,0.045,0.618,0.898,1.090
0.658,0.061,0.613,0.903,1.093
0.658,0.062,0.608,0.910,1.097
0.660,0.064,0.611,0.917,1.104
0.663,0.062,0.614,0.929,1.115
0.666,0.061,0.615,0.921,1.110
0.668,0.065,0.613,0.934,1.119
0.670,0.061,0.618,0.919,1.109
0.672,0.067,0.611,0.919,1.106
0.675,0.066,0.614,0.903,1.094
0.677,0.060,0.604,0.887,1.074
0.680,0.071,0.603,0.868,1.059
0.683,0.067,0.611,0.847,1.047
0.685,0.068,0.611,0.834,1.036
0.687,0.074,0.602,0.827,1.025
0.690,0.065,0.593,0.814,1.009
0.692,0.071,0.596,0.801,1.001
0.695,0.067,0.587,0.784,0.982
0.697,0.069,0.592,0.775,0.978
0.700,0.070,0.586,0.762,0.964
0.702,0.066,0.598,0.754,0.965
0.705,0.063,0.595,0.741,0.953
0.707,0.065,0.596,0.726,0.941
0.709,0.062,0.598,0.728,0.944
0.712,0.064,0.604,0.724,0.945
0.716,0.060,0.602,0.723,0.942
0.717,0.055,0.602,0.731,0.948
0.720,0.059,0.600,0.725,0.943
0.722,0.059,0.607,0.723,0.946
0.724,0.065,0.602,0.729,0.948
0.727,0.057,0.608,0.734,0.955
0.729,0.062,0.604,0.744,0.960
0.733,0.065,0.602,0.753,0.966
0.734,0.060,0.606,0.757,0.972
0.737,0.058,0.615,0.767,0.985
0.739,0.054,0.604,0.784,0.992
0.742,0.054,0.600,0.793,0.996
0.749,0.055,0.604,0.810,1.012
0.750,0.051,0.604,0.830,1.028
0.750,0.054,0.609,0.848,1.045
0.752,0.049,0.606,0.855,1.050
0.754,0.053,0.601,0.881,1.067
0.757,0.047,0.604,0.885,1.073
0.759,0.047,0.611,0.887,1.078
0.762,0.054,0.610,0.898,1.087
0.764,0.054,0.605,0.885,1.074
0.769,0.055,0.596,0.894,1.075
0.775,0.059,0.597,0.897,1.079
0.776,0.063,0.601,0.893,1.078
0.776,0.066,0.598,0.887,1.072
0.779,0.066,0.606,0.880,1.070
0.779,0.068,0.597,0.878,1.064
0.788,0.068,0.603,0.883,1.072
0.788,0.072,0.600,0.878,1.066
0.788,0.083,0.597,0.885,1.071
0.789,0.084,0.606,0.880,1.072
0.791,0.079,0.609,0.875,1.069
0.794,0.083,0.599,0.868,1.058
0.796,0.078,0.605,0.876,1.067
0.800,0.080,0.603,0.865,1.057
0.801,0.074,0.600,0.865,1.055
0.804,0.067,0.594,0.870,1.055
0.806,0.062,0.596,0.860,1.048
0.809,0.061,0.607,0.863,1.057
0.811,0.061,0.594,0.861,1.048
