time,x,y,z,gforce
0.014,-0.084,0.574,0.453,0.736
0.014,-0.029,0.579,0.450,0.733
0.014,0.018,0.581,0.457,0.739
0.014,0.045,0.586,0.389,0.705
0.015,0.073,0.576,0.403,0.707
0.015,0.111,0.581,0.426,0.729
0.017,0.138,0.586,0.457,0.756
0.019,0.157,0.603,0.470,0.780
0.025,0.154,0.609,0.491,0.798
0.026,0.158,0.606,0.512,0.809
0.026,0.161,0.612,0.547,0.836
0.029,0.167,0.619,0.570,0.857
0.031,0.170,0.601,0.604,0.869
0.034,0.174,0.597,0.647,0.897
0.036,0.177,0.592,0.687,0.924
0.039,0.187,0.580,0.723,0.946
0.041,0.184,0.562,0.771,0.972
0.044,0.164,0.552,0.807,0.991
0.046,0.145,0.542,0.840,1.010
0.050,0.129,0.528,0.865,1.022
0.055,0.094,0.517,0.895,1.038
0.056,0.078,0.511,0.928,1.063
0.057,0.054,0.489,0.953,1.073
0.059,0.030,0.476,0.972,1.083
0.061,0.012,0.476,0.990,1.098
0.063,-0.012,0.453,0.990,1.089
0.066,-0.025,0.454,0.985,1.086
0.068,-0.038,0.426,0.987,1.076
0.071,-0.059,0.430,0.976,1.068
0.074,-0.070,0.420,0.957,1.047
0.076,-0.077,0.420,0.939,1.031
0.078,-0.087,0.420,0.923,1.018
0.084,-0.093,0.425,0.908,1.007
0.085,-0.095,0.429,0.900,1.002
0.087,-0.103,0.430,0.877,0.982
0.088,-0.110,0.433,0.865,0.974
0.091,-0.116,0.445,0.855,0.971
0.093,-0.140,0.454,0.831,0.957
0.096,-0.153,0.466,0.803,0.941
0.098,-0.149,0.475,0.801,0.943
0.101,-0.147,0.490,0.808,0.956
0.104,-0.139,0.495,0.804,0.954
0.106,-0.132,0.503,0.809,0.962
0.108,-0.114,0.516,0.808,0.966
0.113,-0.104,0.526,0.822,0.982
0.114,-0.092,0.524,0.819,0.976
0.118,-0.074,0.528,0.833,0.990
0.119,-0.054,0.533,0.843,0.999
0.121,-0.038,0.537,0.859,1.014
0.123,-0.013,0.543,0.873,1.028
0.125,0.004,0.539,0.887,1.038
0.128,0.015,0.552,0.899,1.056
0.131,0.029,0.555,0.917,1.072
0.138,0.038,0.551,0.921,1.074
0.138,0.053,0.557,0.924,1.081
0.143,0.061,0.567,0.945,1.104
0.144,0.070,0.557,0.949,1.103
0.144,0.076,0.551,0.952,1.102
0.146,0.086,0.551,0.947,1.099
0.147,0.089,0.546,0.955,1.104
0.150,0.088,0.550,0.949,1.100
0.153,0.091,0.542,0.937,1.086
0.155,0.091,0.526,0.933,1.075
0.158,0.089,0.528,0.929,1.072
0.160,0.076,0.525,0.919,1.061
0.163,0.069,0.526,0.915,1.058
0.165,0.059,0.528,0.907,1.051
0.173,0.049,0.519,0.906,1.045
0.175,0.040,0.523,0.903,1.045
0.175,0.025,0.518,0.905,1.044
0.176,0.021,0.512,0.891,1.027
0.178,0.002,0.511,0.882,1.019
0.180,-0.012,0.517,0.884,1.025
0.184,-0.017,0.520,0.887,1.029
0.185,-0.029,0.531,0.884,1.032
0.187,-0.036,0.527,0.881,1.027
0.190,-0.032,0.539,0.888,1.039
0.192,-0.041,0.544,0.893,1.046
0.195,-0.053,0.552,0.894,1.052
0.197,-0.058,0.560,0.898,1.059
0.205,-0.056,0.573,0.905,1.073
0.206,-0.054,0.576,0.915,1.082
0.206,-0.036,0.583,0.927,1.096
0.207,-0.019,0.582,0.938,1.103
0.210,-0.003,0.589,0.952,1.120
0.212,-0.001,0.587,0.955,1.121
0.215,0.015,0.593,0.956,1.125
0.217,0.024,0.591,0.965,1.132
0.220,0.044,0.603,0.951,1.127
0.222,0.059,0.604,0.954,1.130
0.225,0.077,0.574,0.953,1.115
0.227,0.093,0.583,0.942,1.112
0.235,0.108,0.587,0.922,1.099
0.236,0.116,0.580,0.900,1.077
0.237,0.106,0.563,0.885,1.054
0.237,0.104,0.545,0.859,1.023
0.239,0.094,0.529,0.856,1.011
0.242,0.085,0.519,0.838,0.989
0.244,0.079,0.506,0.823,0.969
0.247,0.077,0.493,0.805,0.947
0.253,0.066,0.479,0.781,0.919
0.253,0.055,0.463,0.762,0.893
0.254,0.043,0.442,0.736,0.859
0.256,0.034,0.418,0.718,0.831
0.259,0.030,0.421,0.708,0.824
0.272,0.019,0.421,0.707,0.823
0.272,0.006,0.431,0.686,0.811
0.272,0.001,0.423,0.666,0.789
0.272,-0.011,0.422,0.636,0.764
0.272,-0.048,0.394,0.632,0.746
0.274,-0.091,0.356,0.642,0.740
0.276,-0.111,0.342,0.638,0.733
0.279,-0.115,0.354,0.640,0.741
0.281,-0.098,0.375,0.646,0.754
0.284,-0.073,0.395,0.653,0.767
0.287,-0.057,0.436,0.669,0.801
0.289,-0.039,0.470,0.675,0.823
0.297,-0.024,0.512,0.689,0.859
0.305,-0.005,0.547,0.694,0.884
0.305,0.001,0.580,0.717,0.922
0.305,0.011,0.612,0.744,0.963
0.306,0.022,0.641,0.799,1.024
0.306,0.026,0.652,0.843,1.066
0.306,0.045,0.635,0.881,1.087
