time,x,y,z,gforce
0.380,-0.053,0.232,1.173,1.197
0.382,-0.067,0.224,1.173,1.196
0.385,-0.082,0.216,1.163,1.186
0.388,-0.103,0.206,1.154,1.176
0.390,-0.123,0.196,1.156,1.179
0.392,-0.141,0.178,1.156,1.178
0.395,-0.161,0.172,1.172,1.196
0.397,-0.191,0.165,1.173,1.200
0.404,-0.227,0.162,1.156,1.189
0.405,-0.257,0.163,1.149,1.188
0.405,-0.278,0.163,1.137,1.181
0.409,-0.281,0.173,1.132,1.179
0.410,-0.283,0.178,1.122,1.171
0.412,-0.276,0.176,1.108,1.156
0.415,-0.260,0.181,1.100,1.145
0.418,-0.258,0.154,1.079,1.120
0.420,-0.216,0.171,1.063,1.098
0.425,-0.173,0.178,1.047,1.076
0.426,-0.154,0.192,1.032,1.061
0.427,-0.127,0.183,1.015,1.039
0.429,-0.104,0.184,1.008,1.030
0.432,-0.080,0.180,0.992,1.011
0.435,-0.067,0.172,0.991,1.008
0.437,-0.060,0.171,0.988,1.004
0.439,-0.035,0.161,0.973,0.987
0.442,-0.040,0.161,0.952,0.967
0.444,-0.026,0.159,0.925,0.939
0.447,-0.015,0.155,0.926,0.939
0.449,-0.017,0.150,0.901,0.914
0.452,-0.014,0.126,0.885,0.894
0.454,-0.019,0.124,0.879,0.888
0.457,-0.026,0.113,0.852,0.860
0.459,-0.031,0.117,0.847,0.856
0.462,-0.035,0.115,0.840,0.849
0.464,-0.050,0.096,0.831,0.838
0.467,-0.055,0.102,0.825,0.833
0.469,-0.048,0.097,0.823,0.830
0.472,-0.067,0.097,0.819,0.828
0.474,-0.068,0.088,0.820,0.828
0.476,-0.070,0.089,0.836,0.844
0.479,-0.076,0.088,0.840,0.848
0.482,-0.076,0.099,0.839,0.848
0.485,-0.072,0.100,0.850,0.858
0.486,-0.068,0.101,0.868,0.877
0.489,-0.061,0.114,0.887,0.897
0.491,-0.043,0.117,0.913,0.921
0.494,-0.033,0.123,0.925,0.934
0.496,-0.011,0.142,0.942,0.953
0.499,0.004,0.165,0.949,0.963
0.501,0.013,0.177,0.957,0.973
0.504,0.038,0.193,0.952,0.972
0.506,0.056,0.210,0.950,0.975
0.509,0.076,0.232,0.948,0.979
0.511,0.088,0.244,0.940,0.975
0.514,0.107,0.260,0.931,0.973
0.516,0.101,0.266,0.944,0.986
0.521,0.110,0.271,0.938,0.982
0.521,0.116,0.286,0.945,0.995
0.526,0.114,0.290,0.934,0.985
0.526,0.111,0.303,0.927,0.981
0.528,0.107,0.305,0.917,0.972
0.531,0.097,0.304,0.915,0.969
0.534,0.116,0.319,0.913,0.974
0.536,0.127,0.326,0.907,0.972
0.539,0.138,0.342,0.889,0.962
0.541,0.148,0.343,0.883,0.959
0.543,0.157,0.353,0.874,0.955
0.546,0.157,0.364,0.870,0.956
0.548,0.166,0.379,0.851,0.946
0.551,0.175,0.388,0.843,0.945
0.553,0.182,0.416,0.825,0.942
0.556,0.190,0.428,0.810,0.935
0.558,0.206,0.448,0.804,0.943
0.561,0.207,0.477,0.796,0.951
0.563,0.228,0.506,0.794,0.968
0.566,0.223,0.529,0.776,0.965
0.569,0.207,0.551,0.779,0.976
0.571,0.163,0.555,0.759,0.954
0.573,0.130,0.568,0.759,0.956
0.576,0.088,0.579,0.737,0.941
0.578,0.071,0.576,0.706,0.914
0.581,0.061,0.563,0.699,0.900
0.584,0.074,0.555,0.686,0.885
0.586,0.085,0.530,0.674,0.861
0.588,0.111,0.499,0.688,0.858
0.591,0.137,0.474,0.687,0.846
0.593,0.151,0.447,0.703,0.847
0.595,0.160,0.422,0.718,0.848
0.598,0.163,0.408,0.724,0.847
0.601,0.173,0.390,0.749,0.862
0.603,0.185,0.385,0.771,0.882
0.605,0.197,0.371,0.794,0.898
0.608,0.198,0.361,0.803,0.902
0.610,0.217,0.361,0.829,0.930
0.613,0.217,0.371,0.849,0.951
0.615,0.219,0.387,0.856,0.965
0.618,0.220,0.394,0.867,0.978
0.620,0.215,0.415,0.871,0.988
0.623,0.210,0.427,0.877,0.998
0.625,0.199,0.449,0.889,1.016
0.628,0.195,0.461,0.895,1.025
0.630,0.194,0.449,0.920,1.042
0.633,0.171,0.467,0.931,1.056
0.638,0.158,0.478,0.931,1.059
0.638,0.140,0.491,0.938,1.068
0.641,0.135,0.498,0.941,1.073
0.643,0.129,0.503,0.935,1.070
0.645,0.120,0.496,0.928,1.059
0.648,0.119,0.487,0.925,1.052
0.652,0.119,0.473,0.903,1.026
0.652,0.118,0.470,0.868,0.994
0.655,0.063,0.475,0.902,1.022
0.658,0.024,0.470,0.939,1.050
0.660,0.021,0.455,0.937,1.042
0.662,0.009,0.427,0.937,1.029
0.665,-0.047,0.402,0.938,1.022
0.668,-0.042,0.411,0.976,1.060
0.678,-0.015,0.431,0.984,1.074
0.678,0.022,0.430,0.961,1.053
0.679,0.049,0.445,0.942,1.043
0.679,0.057,0.430,0.932,1.028
0.680,0.079,0.436,0.907,1.010
0.682,0.085,0.441,0.897,1.003
0.685,0.105,0.438,0.883,0.992
0.688,0.096,0.443,0.885,0.994
0.691,0.098,0.440,0.875,0.984
0.692,0.099,0.439,0.875,0.983
0.695,0.087,0.443,0.880,0.989
0.697,0.089,0.439,0.900,1.005
0.700,0.092,0.435,0.903,1.007
0.702,0.091,0.437,0.925,1.028
0.705,0.090,0.441,0.927,1.031
0.707,0.085,0.438,0.941,1.042
0.709,0.084,0.439,0.964,1.063
0.712,0.089,0.440,0.963,1.063
0.715,0.093,0.436,0.956,1.055
0.720,0.106,0.434,0.945,1.046
0.721,0.110,0.430,0.939,1.038
0.722,0.121,0.424,0.925,1.025
0.724,0.130,0.424,0.932,1.032
0.727,0.131,0.439,0.928,1.035
0.729,0.135,0.445,0.912,1.024
0.732,0.143,0.447,0.894,1.010
0.737,0.155,0.458,0.873,0.998
0.737,0.160,0.464,0.834,0.968
0.740,0.166,0.460,0.812,0.948
0.742,0.162,0.462,0.783,0.924
0.744,0.156,0.450,0.762,0.899
0.747,0.137,0.431,0.735,0.863
0.749,0.087,0.396,0.713,0.820
0.752,0.089,0.412,0.727,0.840
0.754,0.091,0.417,0.721,0.837
0.757,0.085,0.408,0.703,0.817
0.760,0.080,0.418,0.705,0.823
0.762,0.087,0.433,0.723,0.847
0.764,0.094,0.453,0.742,0.874
0.767,0.103,0.464,0.788,0.920
0.770,0.102,0.473,0.826,0.958
0.772,0.116,0.470,0.888,1.011
0.774,0.115,0.464,0.936,1.051
0.777,0.111,0.450,0.988,1.091
0.779,0.123,0.451,1.011,1.114
0.782,0.126,0.452,1.033,1.134
0.788,0.131,0.451,1.036,1.138
0.788,0.138,0.453,1.017,1.122
0.789,0.155,0.451,0.983,1.093
0.794,0.167,0.454,0.948,1.064
0.794,0.183,0.445,0.909,1.028
0.796,0.194,0.452,0.863,0.993
0.799,0.199,0.452,0.828,0.964
0.802,0.195,0.467,0.799,0.946
0.804,0.193,0.469,0.770,0.922
0.806,0.187,0.465,0.746,0.899
0.809,0.177,0.470,0.739,0.893
0.811,0.169,0.470,0.735,0.889
0.814,0.160,0.480,0.745,0.901
0.816,0.149,0.481,0.760,0.912
0.819,0.139,0.480,0.776,0.923
0.821,0.138,0.477,0.789,0.933
0.824,0.143,0.486,0.803,0.949
0.826,0.141,0.485,0.825,0.967
0.828,0.140,0.482,0.850,0.987
0.831,0.134,0.493,0.864,1.003
0.833,0.130,0.490,0.873,1.010
0.836,0.115,0.501,0.876,1.015
0.839,0.109,0.509,0.868,1.012
0.841,0.101,0.516,0.858,1.006
0.843,0.092,0.517,0.842,0.992
0.846,0.090,0.511,0.813,0.965
0.848,0.087,0.501,0.790,0.939
0.852,0.086,0.509,0.772,0.929
0.853,0.093,0.495,0.759,0.911
0.858,0.093,0.489,0.746,0.897
0.859,0.108,0.478,0.737,0.885
0.861,0.113,0.477,0.738,0.886
0.863,0.120,0.472,0.740,0.886
0.866,0.118,0.476,0.759,0.904
0.869,0.120,0.482,0.766,0.912
0.870,0.119,0.484,0.779,0.925
0.873,0.132,0.487,0.790,0.938
0.876,0.134,0.496,0.790,0.942
0.878,0.143,0.493,0.798,0.949
0.880,0.140,0.504,0.806,0.961
0.883,0.152,0.509,0.818,0.976
0.888,0.160,0.516,0.826,0.987
0.888,0.162,0.510,0.829,0.986
0.894,0.174,0.515,0.842,1.002
0.894,0.169,0.511,0.850,1.006
0.895,0.172,0.511,0.863,1.017
0.898,0.171,0.509,0.878,1.029
0.900,0.170,0.513,0.893,1.044
0.903,0.161,0.511,0.898,1.046
0.906,0.152,0.511,0.906,1.051
0.908,0.154,0.503,0.916,1.056
0.910,0.146,0.502,0.934,1.070
0.913,0.151,0.498,0.941,1.075
0.915,0.159,0.499,0.945,1.081
0.921,0.162,0.492,0.947,1.080
0.921,0.167,0.490,0.946,1.078
0.923,0.171,0.490,0.951,1.083
0.925,0.165,0.491,0.957,1.088
0.928,0.160,0.482,0.963,1.089
0.930,0.154,0.486,0.970,1.095
0.932,0.150,0.488,0.971,1.097
0.936,0.143,0.493,0.973,1.100
0.937,0.137,0.487,0.964,1.089
0.940,0.133,0.491,0.957,1.084
0.942,0.131,0.489,0.944,1.072
0.945,0.133,0.493,0.939,1.069
0.947,0.135,0.486,0.939,1.066
0.950,0.140,0.478,0.931,1.056
0.953,0.149,0.479,0.918,1.046
0.955,0.147,0.480,0.905,1.035
0.957,0.146,0.484,0.876,1.012
0.960,0.148,0.487,0.854,0.994
0.962,0.147,0.492,0.831,0.976
0.965,0.145,0.491,0.812,0.960
0.967,0.140,0.493,0.798,0.949
0.970,0.138,0.500,0.792,0.947
0.972,0.127,0.493,0.791,0.941
0.975,0.121,0.489,0.795,0.941
0.977,0.123,0.495,0.789,0.940
0.980,0.117,0.492,0.787,0.935
0.982,0.117,0.487,0.800,0.944
0.986,0.120,0.483,0.804,0.946
0.987,0.128,0.480,0.826,0.964
0.989,0.132,0.476,0.839,0.974
0.992,0.141,0.480,0.844,0.981
0.994,0.146,0.479,0.861,0.996
0.997,0.160,0.491,0.878,1.019
1.000,0.163,0.490,0.886,1.025
1.003,0.177,0.499,0.884,1.030
1.005,0.191,0.496,0.896,1.042
1.007,0.211,0.498,0.893,1.044
1.009,0.228,0.506,0.906,1.062
1.012,0.241,0.504,0.920,1.077
1.014,0.262,0.506,0.942,1.101
1.017,0.280,0.512,0.951,1.116
1.023,0.297,0.516,0.968,1.136
1.023,0.314,0.523,0.963,1.140
1.027,0.330,0.522,0.970,1.150
1.028,0.343,0.523,0.959,1.145
1.029,0.351,0.529,0.955,1.147
1.032,0.362,0.539,0.959,1.158
1.034,0.368,0.546,0.958,1.162
1.037,0.373,0.553,0.952,1.162
1.039,0.389,0.561,0.970,1.186
1.042,0.400,0.568,0.964,1.188
1.044,0.415,0.568,0.962,1.192
1.046,0.452,0.568,0.950,1.196
1.049,0.460,0.568,0.940,1.190
1.053,0.470,0.567,0.951,1.203
1.054,0.485,0.568,0.954,1.212
1.056,0.478,0.569,0.955,1.210
1.059,0.476,0.569,0.953,1.208
1.061,0.473,0.557,0.946,1.196
1.064,0.460,0.560,0.958,1.201
1.066,0.441,0.546,0.956,1.186
1.069,0.431,0.547,0.951,1.179
1.071,0.404,0.552,0.958,1.177
1.074,0.389,0.552,0.949,1.165
1.076,0.365,0.546,0.939,1.146
1.078,0.350,0.561,0.936,1.146
1.081,0.334,0.559,0.914,1.122
1.084,0.310,0.566,0.895,1.103
1.086,0.295,0.570,0.886,1.094
1.089,0.298,0.570,0.854,1.069
1.091,0.278,0.567,0.852,1.060
1.094,0.280,0.576,0.844,1.059
1.096,0.269,0.572,0.849,1.058
1.099,0.269,0.573,0.841,1.053
1.101,0.258,0.568,0.846,1.051
1.104,0.245,0.569,0.852,1.053
1.106,0.237,0.558,0.884,1.072
1.108,0.236,0.552,0.921,1.100
1.111,0.247,0.541,0.948,1.119
1.113,0.278,0.524,0.956,1.125
1.116,0.313,0.515,0.943,1.119
1.121,0.337,0.501,0.914,1.095
1.122,0.342,0.484,0.881,1.062
1.124,0.348,0.463,0.861,1.038
1.127,0.347,0.468,0.851,1.031
1.128,0.340,0.450,0.832,1.005
1.131,0.265,0.427,0.863,0.999
1.133,0.349,0.431,0.886,1.046
1.136,0.400,0.431,0.848,1.032
1.138,0.443,0.433,0.818,1.026
1.141,0.477,0.443,0.780,1.016
1.144,0.514,0.437,0.777,1.029
1.146,0.533,0.441,0.795,1.054
1.148,0.557,0.427,0.819,1.079
1.150,0.577,0.422,0.844,1.106
1.153,0.583,0.415,0.870,1.126
1.155,0.590,0.407,0.904,1.154
1.158,0.587,0.402,0.928,1.169
1.160,0.587,0.397,0.960,1.193
1.163,0.588,0.390,0.992,1.218
1.173,0.584,0.385,1.003,1.223
1.173,0.594,0.379,1.020,1.240
1.174,0.598,0.382,1.036,1.256
1.174,0.608,0.374,1.036,1.258
1.176,0.613,0.376,1.046,1.270
1.178,0.627,0.361,1.055,1.279
1.181,0.616,0.360,1.067,1.283
1.183,0.615,0.362,1.075,1.291
1.187,0.609,0.359,1.084,1.294
1.188,0.597,0.350,1.094,1.294
1.191,0.587,0.348,1.095,1.290
1.193,0.583,0.343,1.109,1.298
1.196,0.583,0.335,1.100,1.289
1.198,0.568,0.334,1.103,1.285
1.200,0.571,0.325,1.105,1.285
1.205,0.568,0.325,1.102,1.282
1.206,0.565,0.319,1.103,1.280
1.208,0.560,0.315,1.102,1.276
1.211,0.556,0.312,1.091,1.263
1.213,0.546,0.309,1.075,1.244
1.216,0.540,0.311,1.055,1.225
1.218,0.532,0.319,1.029,1.202
1.224,0.521,0.320,1.006,1.177
1.225,0.516,0.331,0.982,1.157
1.228,0.516,0.337,0.947,1.130
1.228,0.503,0.340,0.926,1.108
1.230,0.497,0.350,0.908,1.092
1.233,0.495,0.351,0.877,1.067
1.235,0.497,0.360,0.866,1.061
1.238,0.490,0.353,0.847,1.040
1.241,0.491,0.361,0.835,1.034
1.243,0.493,0.358,0.817,1.019
1.245,0.486,0.349,0.797,0.997
1.247,0.491,0.346,0.794,0.996
1.250,0.484,0.349,0.779,0.982
1.253,0.481,0.336,0.783,0.978
1.255,0.474,0.334,0.778,0.970
1.258,0.469,0.328,0.770,0.960
1.260,0.465,0.323,0.766,0.953
1.262,0.465,0.329,0.757,0.947
1.264,0.465,0.334,0.741,0.936
1.267,0.463,0.335,0.730,0.927
1.272,0.463,0.343,0.714,0.917
1.273,0.459,0.341,0.698,0.902
1.275,0.452,0.338,0.682,0.885
1.277,0.445,0.337,0.667,0.870
1.279,0.441,0.340,0.655,0.860
1.282,0.416,0.334,0.647,0.838
1.285,0.417,0.330,0.640,0.832
1.287,0.407,0.326,0.642,0.827
1.289,0.400,0.319,0.647,0.825
