time,x,y,z,gforce
0.013,0.026,0.760,0.221,0.792
0.014,0.041,0.762,0.254,0.804
0.014,0.063,0.762,0.291,0.818
0.014,0.079,0.751,0.340,0.828
0.014,0.087,0.737,0.397,0.841
0.014,0.101,0.736,0.457,0.873
0.019,0.110,0.717,0.517,0.891
0.019,0.116,0.712,0.571,0.920
0.021,0.123,0.702,0.609,0.937
0.024,0.127,0.694,0.649,0.958
0.026,0.143,0.688,0.673,0.973
0.032,0.146,0.687,0.703,0.994
0.033,0.147,0.676,0.732,1.007
0.033,0.144,0.666,0.754,1.016
0.037,0.142,0.655,0.768,1.020
0.038,0.128,0.647,0.786,1.026
0.041,0.121,0.636,0.789,1.021
0.043,0.106,0.625,0.800,1.021
0.048,0.100,0.618,0.794,1.011
0.048,0.081,0.604,0.792,1.000
0.051,0.061,0.608,0.787,0.996
0.053,0.036,0.594,0.787,0.987
0.055,0.011,0.597,0.789,0.990
0.058,-0.017,0.591,0.791,0.988
0.060,-0.047,0.594,0.788,0.988
0.063,-0.077,0.596,0.783,0.987
0.065,-0.105,0.593,0.785,0.989
0.068,-0.117,0.579,0.795,0.990
0.070,-0.143,0.582,0.787,0.989
0.073,-0.159,0.582,0.789,0.993
0.075,-0.175,0.582,0.791,0.997
0.078,-0.182,0.580,0.794,1.000
0.080,-0.194,0.582,0.793,1.003
0.083,-0.187,0.581,0.788,0.996
0.085,-0.190,0.577,0.786,0.993
0.088,-0.182,0.579,0.775,0.984
0.090,-0.171,0.583,0.771,0.982
0.093,-0.169,0.582,0.770,0.980
0.096,-0.151,0.589,0.776,0.986
0.098,-0.140,0.590,0.778,0.986
0.101,-0.121,0.585,0.772,0.977
0.103,-0.091,0.579,0.774,0.971
0.105,-0.072,0.582,0.773,0.971
0.108,-0.054,0.592,0.767,0.971
0.110,-0.032,0.602,0.772,0.980
0.113,-0.026,0.607,0.779,0.988
0.115,-0.016,0.618,0.776,0.992
0.118,-0.006,0.634,0.783,1.007
0.120,0.007,0.644,0.782,1.013
0.123,0.023,0.658,0.785,1.024
0.125,0.029,0.672,0.781,1.031
0.127,0.038,0.684,0.793,1.048
0.130,0.046,0.696,0.784,1.050
0.132,0.054,0.708,0.795,1.066
0.135,0.056,0.722,0.803,1.081
0.137,0.052,0.732,0.807,1.091
0.140,0.051,0.747,0.810,1.103
0.142,0.041,0.754,0.816,1.112
0.145,0.035,0.761,0.825,1.123
0.152,0.032,0.769,0.828,1.130
0.152,0.029,0.768,0.832,1.132
0.152,0.024,0.770,0.837,1.138
0.155,0.021,0.778,0.831,1.139
0.157,0.024,0.766,0.832,1.131
0.160,0.023,0.766,0.841,1.138
0.169,0.016,0.750,0.853,1.135
0.170,0.007,0.745,0.857,1.135
