time,x,y,z,gforce
0.007,-0.328,0.735,0.375,0.888
0.007,-0.316,0.744,0.341,0.877
0.007,-0.308,0.752,0.309,0.869
0.007,-0.286,0.766,0.285,0.866
0.010,-0.270,0.776,0.270,0.865
0.013,-0.251,0.784,0.262,0.864
0.016,-0.197,0.736,0.257,0.804
0.019,-0.164,0.717,0.258,0.780
0.020,-0.181,0.759,0.275,0.828
0.022,-0.207,0.803,0.283,0.876
0.025,-0.228,0.836,0.309,0.920
0.028,-0.227,0.874,0.335,0.963
0.033,-0.222,0.896,0.367,0.994
0.033,-0.201,0.914,0.422,1.027
0.035,-0.169,0.921,0.478,1.051
0.038,-0.138,0.927,0.561,1.092
0.040,-0.093,0.921,0.637,1.123
0.042,-0.043,0.911,0.741,1.176
0.045,0.007,0.897,0.839,1.228
0.047,0.044,0.878,0.931,1.280
0.050,0.068,0.870,1.005,1.331
0.053,0.082,0.849,1.065,1.365
0.055,0.084,0.837,1.111,1.394
0.057,0.078,0.839,1.147,1.423
0.060,0.064,0.829,1.179,1.443
0.063,0.048,0.817,1.209,1.460
0.068,0.029,0.814,1.224,1.470
0.068,0.008,0.796,1.226,1.462
0.070,-0.012,0.796,1.220,1.457
0.072,-0.034,0.771,1.216,1.440
0.075,-0.069,0.749,1.197,1.414
0.077,-0.100,0.728,1.190,1.399
0.079,-0.132,0.711,1.163,1.370
0.083,-0.168,0.687,1.150,1.350
0.084,-0.210,0.673,1.132,1.333
0.087,-0.248,0.650,1.131,1.327
0.089,-0.282,0.628,1.111,1.307
0.092,-0.309,0.607,1.106,1.299
0.094,-0.334,0.585,1.098,1.288
0.097,-0.358,0.568,1.094,1.284
0.099,-0.385,0.551,1.088,1.279
0.102,-0.393,0.545,1.091,1.281
0.104,-0.411,0.528,1.076,1.267
0.107,-0.422,0.511,1.083,1.269
0.109,-0.427,0.511,1.071,1.261
0.112,-0.436,0.505,1.072,1.263
0.114,-0.437,0.500,1.072,1.261
0.117,-0.437,0.500,1.064,1.254
0.119,-0.433,0.508,1.045,1.240
0.122,-0.426,0.502,1.034,1.226
0.124,-0.418,0.515,1.011,1.209
0.126,-0.404,0.524,1.004,1.202
0.129,-0.389,0.529,0.992,1.189
0.133,-0.365,0.539,0.970,1.168
0.134,-0.350,0.543,0.956,1.154
0.137,-0.336,0.547,0.935,1.134
0.139,-0.315,0.548,0.909,1.107
0.142,-0.300,0.555,0.891,1.092
