time,x,y,z,gforce
0.020,-0.086,0.252,1.261,1.289
0.020,-0.090,0.234,1.277,1.302
0.020,-0.092,0.211,1.288,1.308
0.020,-0.097,0.202,1.300,1.319
0.020,-0.100,0.194,1.301,1.319
0.020,-0.101,0.183,1.312,1.329
0.020,-0.107,0.181,1.321,1.337
0.020,-0.125,0.189,1.334,1.353
0.021,-0.140,0.186,1.347,1.367
0.027,-0.154,0.197,1.366,1.389
0.027,-0.171,0.202,1.381,1.406
0.028,-0.186,0.203,1.391,1.418
0.030,-0.192,0.213,1.378,1.408
0.032,-0.199,0.219,1.361,1.393
0.036,-0.210,0.223,1.352,1.386
0.037,-0.219,0.237,1.331,1.370
0.040,-0.216,0.236,1.307,1.345
0.042,-0.209,0.241,1.286,1.325
0.045,-0.203,0.250,1.260,1.301
0.047,-0.195,0.253,1.226,1.267
0.050,-0.186,0.259,1.193,1.235
0.053,-0.187,0.268,1.160,1.205
0.055,-0.187,0.274,1.132,1.179
0.057,-0.188,0.291,1.101,1.154
0.060,-0.189,0.288,1.063,1.117
0.062,-0.189,0.296,1.018,1.076
0.064,-0.193,0.302,0.985,1.048
0.067,-0.201,0.312,0.946,1.016
0.070,-0.200,0.321,0.909,0.985
0.072,-0.203,0.335,0.867,0.952
0.075,-0.197,0.341,0.833,0.922
0.077,-0.198,0.350,0.803,0.898
0.079,-0.218,0.360,0.789,0.894
0.082,-0.232,0.369,0.751,0.869
0.084,-0.233,0.389,0.723,0.854
0.087,-0.242,0.395,0.714,0.851
0.089,-0.239,0.395,0.687,0.828
0.092,-0.241,0.404,0.679,0.826
0.094,-0.242,0.413,0.670,0.824
0.096,-0.241,0.423,0.669,0.828
0.099,-0.242,0.423,0.668,0.827
0.101,-0.244,0.422,0.665,0.825
0.105,-0.247,0.430,0.674,0.836
0.109,-0.253,0.421,0.664,0.826
0.109,-0.247,0.415,0.681,0.835
0.112,-0.255,0.415,0.692,0.846
0.114,-0.263,0.407,0.708,0.858
